court_id,site_id,osm_ref,sport,role,parent_id,lat,lon,length_m,width_m,angle_deg,n_in_feature,n_children,n_overlay,subdivided,guessed,oversized,derived,ring
oh_4012358_-8304591:fe9a67a,oh_4012358_-8304591,way/554444627,tennis,court,,40.1235594,-83.04721,18.4,8.6,48.2,1,0,0,False,False,False,,"[[-83.0472417, 40.123471], [-83.0471013, 40.1235973], [-83.0471783, 40.1236478], [-83.0473187, 40.1235215]]"
oh_4012358_-8304591:fb3ce19,oh_4012358_-8304591,way/554444628,tennis,court,,40.1238687,-83.0462298,23.8,10.9,48.4,1,0,0,False,False,False,,"[[-83.0462712, 40.1237552], [-83.0460907, 40.1239186], [-83.0461884, 40.1239822], [-83.0463689, 40.1238188]]"
oh_4012358_-8304591:fbd2c2b,oh_4012358_-8304591,way/554444632,tennis,court,,40.1237182,-83.0452332,24.1,10.9,47.9,1,0,0,False,False,False,,"[[-83.0452772, 40.123604], [-83.0450924, 40.1237684], [-83.0451892, 40.1238325], [-83.045374, 40.1236681]]"
oh_4012358_-8304591:f457a0f,oh_4012358_-8304591,way/1125087636,tennis,court,,40.1237826,-83.0460939,23.8,10.9,48.4,1,0,0,False,False,False,,"[[-83.0461354, 40.1236691], [-83.0459548, 40.1238325], [-83.0460525, 40.1238961], [-83.0462331, 40.1237327]]"
oh_4012358_-8304591:f9e6f77,oh_4012358_-8304591,way/1125087637,tennis,court,,40.1236983,-83.0459677,23.8,10.9,48.4,1,0,0,False,False,False,,"[[-83.0460091, 40.1235848], [-83.0458285, 40.1237482], [-83.0459262, 40.1238118], [-83.0461068, 40.1236484]]"
oh_4012358_-8304591:f463fb5,oh_4012358_-8304591,way/1125087638,tennis,court,,40.1235822,-83.0465392,24.0,11.5,47.4,1,0,0,False,False,False,,"[[-83.0465817, 40.1234668], [-83.0463955, 40.1236294], [-83.0464966, 40.1236976], [-83.0466828, 40.123535]]"
oh_4012358_-8304591:fedac7e,oh_4012358_-8304591,way/1125087639,tennis,court,,40.1234937,-83.0464067,24.0,11.5,47.4,1,0,0,False,False,False,,"[[-83.0464491, 40.1233783], [-83.046263, 40.1235409], [-83.0463642, 40.1236091], [-83.0465503, 40.1234465]]"
oh_4012358_-8304591:f21cf9e,oh_4012358_-8304591,way/1125087640,tennis,court,,40.123256,-83.0460494,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0460913, 40.123141], [-83.0459081, 40.1233058], [-83.0460075, 40.1233709], [-83.0461907, 40.1232061]]"
oh_4012358_-8304591:fbbcfdc,oh_4012358_-8304591,way/1125087641,tennis,court,,40.123164,-83.0459125,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0459544, 40.1230491], [-83.0457712, 40.1232139], [-83.0458706, 40.123279], [-83.0460538, 40.1231142]]"
oh_4012358_-8304591:f486507,oh_4012358_-8304591,way/1125087642,tennis,court,,40.123417,-83.0456348,24.0,11.1,48.2,1,0,0,False,False,False,,"[[-83.0456768, 40.1233021], [-83.0454936, 40.1234668], [-83.0455929, 40.1235319], [-83.0457761, 40.1233672]]"
