site_id,lat,lon,n_features,sports,has_tennis,has_pickleball,has_padel,extent_m,oversized,any_indoor,osm_refs,state
oh_4007400_-8252048,40.074002,-82.520478,13,tennis,True,False,False,140.7,False,False,way/246571935;way/246571940;way/246571941;way/246571942;way/1015266116;way/1015266117;way/1015266119;way/1015266120;way/1015266125;way/1015266126;way/1015266127;way/1015266128;way/1015266129,OH
oh_4008019_-8252572,40.080191,-82.525719,6,tennis,True,False,False,89.8,False,False,way/917581533;way/917581534;way/917581535;way/917581536;way/917581537;way/917581538,OH
oh_4009303_-8246082,40.093031,-82.460815,1,tennis,True,False,False,35.4,False,False,way/1024420200,OH
oh_4036916_-8239076,40.369161,-82.390757,12,tennis,True,False,False,125.0,False,False,way/560622014;way/1108000696;way/1108000697;way/1108000698;way/1108000699;way/1108000700;way/1108000701;way/1108000702;way/1108000703;way/1108000704;way/1108000705;way/1108000706,OH
oh_4037061_-8247955,40.370611,-82.479551,8,tennis,True,False,False,68.2,False,False,way/1491074820;way/1491074821;way/1491074822;way/1491074823;way/1491074824;way/1491074825;way/1491074826;way/1491074827,OH
oh_4037225_-8247078,40.372254,-82.470782,2,tennis,True,False,False,27.2,False,False,way/632599548;way/632599551,OH
oh_4038166_-8239369,40.381665,-82.393692,2,tennis,True,False,False,25.2,False,False,way/1486923987;way/1486923988,OH
oh_4038470_-8247401,40.384702,-82.474006,10,pickleball;tennis,True,True,False,107.9,False,False,way/637265336;way/637265338;way/637265339;way/637265341;way/637265342;way/637265344;way/1088220898;way/1088220899;way/1088220900;way/1088220901,OH
oh_4039665_-8250064,40.396651,-82.500637,4,pickleball,False,True,False,19.0,False,False,node/13374895485;node/13374895486;node/13374895487;node/13374895488,OH
oh_4041390_-8246758,40.413902,-82.467578,2,tennis,True,False,False,49.0,False,False,way/544373352;way/544373353,OH
oh_4047133_-8253923,40.471334,-82.539231,5,tennis,True,False,False,75.4,False,False,way/713880084;way/713880085;way/713880086;way/713880087;way/713880088,OH
oh_4047683_-8254733,40.476827,-82.547333,1,tennis,True,False,False,74.6,False,False,way/39088251,OH
oh_4061913_-8250631,40.619127,-82.506307,3,tennis,True,False,False,41.4,False,False,way/918934927;way/918934928;way/918934929,OH
oh_4063524_-8243917,40.635242,-82.439174,1,tennis,True,False,False,33.0,False,False,way/161090619,OH
oh_4064043_-8233252,40.640426,-82.332518,1,tennis,True,False,False,41.0,False,False,way/1524408326,OH
oh_4064653_-8234389,40.646534,-82.34389,1,tennis,True,False,False,21.0,False,False,way/1524473418,OH
oh_4067297_-8259022,40.672974,-82.590215,5,tennis,True,False,False,70.3,False,False,way/356400040;way/1015077746;way/1015077747;way/1015077748;way/1015077749,OH
oh_4067647_-8257499,40.67647,-82.574987,6,tennis,True,False,False,60.5,False,False,way/695887151;way/1015077728;way/1015077729;way/1015077730;way/1015077731;way/1015077732,OH
