court_id,site_id,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3996974_-8274712:c006,oh_3996974_-8274712,hybrid,tennis,2019,2021,0.528,1,True,low_confidence;reversion
oh_3999972_-8301999:c004,oh_3999972_-8301999,tennis,hybrid,2011,2013,0.528,1,True,low_confidence
oh_4000053_-8307502:c008,oh_4000053_-8307502,hybrid,tennis,2011,2015,0.528,1,True,low_confidence;reversion
oh_4023496_-8285642:c004,oh_4023496_-8285642,hybrid,tennis,2015,2017,0.528,1,True,low_confidence;reversion
oh_4133871_-8169503:c001,oh_4133871_-8169503,removed,tennis,2015,2017,0.528,1,True,low_confidence;reversion
oh_4147541_-8184123:c004,oh_4147541_-8184123,hybrid,removed,2021,2023,0.528,1,True,low_confidence
oh_3853873_-8268786:c001,oh_3853873_-8268786,tennis,removed,2012,2014,0.529,1,True,low_confidence
oh_3853873_-8268786:c001,oh_3853873_-8268786,removed,hybrid,2014,2018,0.529,1,True,low_confidence;reversion
oh_3920779_-8433260:c001,oh_3920779_-8433260,hybrid,tennis,2013,2019,0.529,1,True,low_confidence;reversion
oh_3928402_-8433063:c008,oh_3928402_-8433063,tennis,removed,2021,2023,0.529,1,True,low_confidence
oh_3928994_-8429292:c002,oh_3928994_-8429292,pickleball,removed,2021,2023,0.529,1,True,low_confidence
oh_3956716_-8430618:c001,oh_3956716_-8430618,removed,tennis,2017,2019,0.529,1,True,low_confidence;reversion
oh_4129619_-8477120:c003,oh_4129619_-8477120,tennis,hybrid,2019,2020,0.529,1,True,low_confidence
oh_3888228_-8390146:c001,oh_3888228_-8390146,tennis,pickleball,2019,2021,0.53,,True,low_confidence
oh_3888228_-8390146:c001,oh_3888228_-8390146,pickleball,hybrid,2021,2023,0.53,1,True,low_confidence
oh_3926475_-8452388:c002,oh_3926475_-8452388,tennis,hybrid,2021,2023,0.53,1,True,low_confidence
oh_3931717_-8423658:c001,oh_3931717_-8423658,tennis,hybrid,2017,2019,0.53,1,True,low_confidence
oh_3970163_-8242235:c001,oh_3970163_-8242235,hybrid,tennis,2021,2023,0.53,1,True,low_confidence;reversion
oh_3995559_-8349054:c001,oh_3995559_-8349054,hybrid,tennis,2019,2021,0.53,1,True,low_confidence;reversion
oh_4003411_-8306952:c003,oh_4003411_-8306952,hybrid,removed,2021,2023,0.53,1,True,low_confidence
oh_4015297_-8314204:c002,oh_4015297_-8314204,hybrid,tennis,2013,2015,0.53,1,True,low_confidence;reversion
oh_4031437_-8417275:c009,oh_4031437_-8417275,removed,pickleball,2017,2019,0.53,,True,low_confidence;reversion
oh_4089755_-8389857:c002,oh_4089755_-8389857,tennis,pickleball,2011,2019,0.53,,True,low_confidence
oh_4148325_-8202099:c008,oh_4148325_-8202099,hybrid,tennis,2021,2023,0.53,1,True,low_confidence;reversion
oh_4151388_-8430871:c002,oh_4151388_-8430871,tennis,removed,2011,2015,0.53,1,True,low_confidence
oh_3916581_-8439636:c002,oh_3916581_-8439636,tennis,hybrid,2021,2023,0.531,1,True,low_confidence
oh_3919382_-8422272:c001,oh_3919382_-8422272,tennis,hybrid,2021,2023,0.531,1,True,low_confidence
oh_3920650_-8442697:c001,oh_3920650_-8442697,tennis,hybrid,2021,2023,0.531,1,True,low_confidence
oh_3934017_-8430163:c002,oh_3934017_-8430163,hybrid,tennis,2013,2017,0.531,1,True,low_confidence;reversion
oh_3963322_-8426049:c002,oh_3963322_-8426049,hybrid,tennis,2013,2015,0.531,1,True,low_confidence;reversion
oh_3966068_-8413356:c002,oh_3966068_-8413356,hybrid,tennis,2013,2015,0.531,1,True,low_confidence;reversion
oh_3989844_-8379964:c002,oh_3989844_-8379964,tennis,hybrid,2019,2021,0.531,1,True,low_confidence
oh_4008637_-8287457:c004,oh_4008637_-8287457,hybrid,tennis,2011,2015,0.531,1,True,low_confidence;reversion
oh_4038470_-8247401:c010,oh_4038470_-8247401,removed,pickleball,2015,2017,0.531,1,True,low_confidence;reversion
oh_4102216_-8164653:c003,oh_4102216_-8164653,hybrid,tennis,2013,2015,0.531,1,True,low_confidence;reversion
oh_4151873_-8335344:c002,oh_4151873_-8335344,tennis,hybrid,2019,2021,0.531,1,True,low_confidence
oh_3915230_-8453373:c001,oh_3915230_-8453373,tennis,removed,2013,2017,0.532,1,True,low_confidence
