court_id,site_id,county,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3931698_-8457242:c002,oh_3931698_-8457242,Butler,removed,tennis,2015,2023,0.367,1,True,low_confidence;reversion
oh_3931698_-8457242:c003,oh_3931698_-8457242,Butler,removed,pickleball,2015,2023,0.393,4,True,low_confidence;reversion
oh_3934315_-8441805:c002,oh_3934315_-8441805,Butler,tennis,removed,2017,2023,0.556,1,True,low_confidence
oh_3934315_-8441805:c003,oh_3934315_-8441805,Butler,tennis,removed,2017,2021,0.658,1,False,
oh_3934315_-8441805:c004,oh_3934315_-8441805,Butler,tennis,removed,2017,2021,0.454,1,True,low_confidence
oh_3936440_-8450367:c001,oh_3936440_-8450367,Butler,tennis,removed,2019,2021,0.427,1,True,low_confidence
oh_3937344_-8446401:c001,oh_3937344_-8446401,Butler,removed,tennis,2011,2013,0.332,1,True,low_confidence;reversion
oh_3942055_-8446925:c003,oh_3942055_-8446925,Butler,tennis,removed,2015,2021,0.322,1,True,low_confidence
oh_3949432_-8441314:c001,oh_3949432_-8441314,Butler,tennis,removed,2019,2021,0.606,1,False,
oh_3949432_-8441314:c001,oh_3949432_-8441314,Butler,removed,tennis,2021,2023,0.456,1,True,low_confidence;reversion
oh_3950656_-8475476:c001,oh_3950656_-8475476,Butler,tennis,pickleball,2019,2021,0.495,2,True,low_confidence
oh_3950656_-8475476:c001,oh_3950656_-8475476,Butler,pickleball,tennis,2021,2023,0.495,1,True,low_confidence;reversion
oh_3950656_-8475476:c002,oh_3950656_-8475476,Butler,tennis,pickleball,2017,2021,0.497,2,True,low_confidence
oh_3950656_-8475476:c002,oh_3950656_-8475476,Butler,pickleball,tennis,2021,2023,0.473,1,True,low_confidence;reversion
oh_3950947_-8476855:c001,oh_3950947_-8476855,Butler,removed,tennis,2017,2021,0.314,1,True,low_confidence;reversion
oh_3952096_-8473522:c004,oh_3952096_-8473522,Butler,tennis,removed,2011,2015,0.343,1,True,low_confidence
oh_3952096_-8473522:c004,oh_3952096_-8473522,Butler,removed,tennis,2015,2017,0.343,1,True,low_confidence;reversion
oh_3952096_-8473522:c005,oh_3952096_-8473522,Butler,tennis,removed,2011,2015,0.385,1,True,low_confidence
oh_3952096_-8473522:c005,oh_3952096_-8473522,Butler,removed,tennis,2015,2017,0.385,1,True,low_confidence;reversion
oh_3952096_-8473522:c008,oh_3952096_-8473522,Butler,tennis,hybrid,2011,2013,0.346,1,True,low_confidence
oh_3952096_-8473522:c008,oh_3952096_-8473522,Butler,hybrid,removed,2013,2015,0.346,1,True,low_confidence
oh_3952096_-8473522:c008,oh_3952096_-8473522,Butler,removed,tennis,2015,2017,0.458,1,True,low_confidence;reversion
oh_3952746_-8470870:c001,oh_3952746_-8470870,Butler,tennis,removed,2013,2021,0.426,1,True,low_confidence
oh_3953190_-8444846:c001,oh_3953190_-8444846,Butler,tennis,hybrid,2017,2019,0.49,1,True,low_confidence
oh_3973457_-8464993:c001,oh_3973457_-8464993,Preble,tennis,removed,2013,2015,0.315,1,True,low_confidence
oh_3973457_-8464993:c001,oh_3973457_-8464993,Preble,removed,tennis,2017,2021,0.543,1,True,low_confidence;reversion
oh_3973457_-8464993:c002,oh_3973457_-8464993,Preble,removed,tennis,2017,2021,0.402,1,True,low_confidence;reversion
oh_3973457_-8464993:c003,oh_3973457_-8464993,Preble,removed,tennis,2017,2021,0.408,1,True,low_confidence;reversion
oh_3973457_-8464993:c004,oh_3973457_-8464993,Preble,removed,tennis,2017,2021,0.4,1,True,low_confidence;reversion
oh_3973457_-8464993:c005,oh_3973457_-8464993,Preble,removed,tennis,2017,2021,0.461,1,True,low_confidence;reversion
oh_3973457_-8464993:c006,oh_3973457_-8464993,Preble,removed,tennis,2017,2021,0.422,1,True,low_confidence;reversion
oh_3976705_-8464528:c001,oh_3976705_-8464528,Preble,tennis,pickleball,2019,2021,0.558,,True,low_confidence
oh_3976705_-8464528:c001,oh_3976705_-8464528,Preble,pickleball,tennis,2021,2023,0.558,1,True,low_confidence;reversion
oh_4048702_-8463740:c004,oh_4048702_-8463740,Mercer,tennis,removed,2011,2013,0.537,1,True,low_confidence
oh_4048702_-8463740:c004,oh_4048702_-8463740,Mercer,removed,tennis,2013,2015,0.537,1,True,low_confidence;reversion
oh_4086566_-8457823:c001,oh_4086566_-8457823,Van Wert,removed,tennis,2015,2019,0.417,1,True,low_confidence;reversion
oh_4086566_-8457823:c002,oh_4086566_-8457823,Van Wert,removed,tennis,2015,2019,0.373,1,True,low_confidence;reversion
oh_4118253_-8474069:c001,oh_4118253_-8474069,Paulding,removed,tennis,2013,2017,0.464,1,True,low_confidence;reversion
oh_4128298_-8455169:c001,oh_4128298_-8455169,Defiance,tennis,hybrid,2015,2019,0.45,1,True,low_confidence
