court_id,site_id,county,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3874385_-8297608:c002,oh_3874385_-8297608,Scioto,removed,pickleball,2016,2017,0.276,1,True,low_confidence;reversion
oh_3874385_-8297608:c003,oh_3874385_-8297608,Scioto,tennis,pickleball,2011,2018,0.419,1,True,low_confidence
oh_3874385_-8297608:c004,oh_3874385_-8297608,Scioto,removed,pickleball,2013,2018,0.627,1,True,reversion
oh_3874385_-8297608:c005,oh_3874385_-8297608,Scioto,removed,pickleball,2016,2018,0.698,1,True,reversion
oh_3874385_-8297608:c005,oh_3874385_-8297608,Scioto,pickleball,tennis,2019,2020,0.609,1,True,reversion
oh_3874385_-8297608:c005,oh_3874385_-8297608,Scioto,tennis,pickleball,2022,2023,0.364,1,True,low_confidence
oh_3874385_-8297608:c006,oh_3874385_-8297608,Scioto,hybrid,tennis,2016,2017,0.342,1,True,low_confidence;reversion
oh_3874385_-8297608:c007,oh_3874385_-8297608,Scioto,hybrid,removed,2012,2013,0.409,1,True,low_confidence
oh_3874385_-8297608:c007,oh_3874385_-8297608,Scioto,removed,tennis,2016,2017,0.335,1,True,low_confidence;reversion
oh_3874385_-8297608:c008,oh_3874385_-8297608,Scioto,hybrid,removed,2012,2013,0.78,1,False,
oh_3874385_-8297608:c008,oh_3874385_-8297608,Scioto,removed,tennis,2014,2016,0.28,1,True,low_confidence;reversion
oh_3874385_-8297608:c009,oh_3874385_-8297608,Scioto,removed,pickleball,2017,2018,0.322,1,True,low_confidence;reversion
oh_3874385_-8297608:c010,oh_3874385_-8297608,Scioto,removed,pickleball,2013,2018,0.74,1,True,reversion
oh_3874385_-8297608:c011,oh_3874385_-8297608,Scioto,removed,pickleball,2017,2018,0.531,1,True,low_confidence;reversion
oh_3874385_-8297608:c012,oh_3874385_-8297608,Scioto,removed,pickleball,2016,2017,0.252,1,True,low_confidence;reversion
oh_3876426_-8288919:c002,oh_3876426_-8288919,Scioto,tennis,hybrid,2020,2022,0.545,1,True,low_confidence
oh_3876426_-8288919:c002,oh_3876426_-8288919,Scioto,hybrid,tennis,2022,2023,0.545,1,True,low_confidence;reversion
oh_3878544_-8297793:c001,oh_3878544_-8297793,Scioto,pickleball,removed,2011,2013,0.474,1,True,low_confidence
oh_3878544_-8297793:c002,oh_3878544_-8297793,Scioto,removed,tennis,2013,2019,0.422,1,True,low_confidence;reversion
oh_3878603_-8297074:c001,oh_3878603_-8297074,Scioto,removed,pickleball,2017,2019,0.547,,True,low_confidence;reversion
oh_3878603_-8297074:c001,oh_3878603_-8297074,Scioto,pickleball,hybrid,2019,2021,0.409,1,True,low_confidence
oh_3878603_-8297074:c002,oh_3878603_-8297074,Scioto,removed,pickleball,2017,2019,0.834,,True,reversion
oh_3878603_-8297074:c002,oh_3878603_-8297074,Scioto,pickleball,hybrid,2019,2021,0.547,1,True,low_confidence
oh_3881193_-8220553:c001,oh_3881193_-8220553,Gallia,tennis,removed,2011,2013,0.693,1,False,
oh_3881193_-8220553:c001,oh_3881193_-8220553,Gallia,removed,tennis,2013,2014,0.692,1,True,reversion
oh_3881193_-8220553:c001,oh_3881193_-8220553,Gallia,tennis,removed,2014,2018,0.481,1,True,low_confidence
oh_3881193_-8220553:c002,oh_3881193_-8220553,Gallia,tennis,removed,2011,2013,0.546,1,True,low_confidence
oh_3881193_-8220553:c002,oh_3881193_-8220553,Gallia,removed,tennis,2013,2014,0.549,1,True,low_confidence;reversion
oh_3881193_-8220553:c002,oh_3881193_-8220553,Gallia,tennis,removed,2015,2019,0.393,1,True,low_confidence
oh_3882126_-8218831:c002,oh_3882126_-8218831,Gallia,tennis,removed,2011,2013,0.784,1,False,
oh_3882126_-8218831:c002,oh_3882126_-8218831,Gallia,removed,tennis,2013,2014,0.778,1,True,reversion
oh_3882126_-8218831:c002,oh_3882126_-8218831,Gallia,tennis,hybrid,2018,2019,0.671,1,False,
oh_3882126_-8218831:c002,oh_3882126_-8218831,Gallia,hybrid,tennis,2020,2021,0.406,1,True,low_confidence;reversion
oh_3882126_-8218831:c002,oh_3882126_-8218831,Gallia,tennis,removed,2021,2022,0.406,1,True,low_confidence
oh_3882126_-8218831:c002,oh_3882126_-8218831,Gallia,removed,tennis,2022,2023,0.354,1,True,low_confidence;reversion
oh_3883551_-8410040:c002,oh_3883551_-8410040,Clermont,tennis,hybrid,2011,2013,0.651,1,False,
oh_3883551_-8410040:c002,oh_3883551_-8410040,Clermont,hybrid,tennis,2013,2015,0.569,1,True,low_confidence;reversion
oh_3886580_-8391285:c001,oh_3886580_-8391285,Brown,tennis,hybrid,2017,2019,0.567,1,True,low_confidence
oh_3887702_-8347387:c001,oh_3887702_-8347387,Adams,tennis,hybrid,2013,2015,0.472,1,True,low_confidence
oh_3887702_-8347387:c001,oh_3887702_-8347387,Adams,hybrid,tennis,2015,2017,0.472,1,True,low_confidence;reversion
oh_3888228_-8390146:c001,oh_3888228_-8390146,Brown,hybrid,tennis,2013,2015,0.58,1,True,low_confidence;reversion
oh_3888228_-8390146:c001,oh_3888228_-8390146,Brown,tennis,hybrid,2017,2019,0.383,1,True,low_confidence
oh_3888228_-8390146:c002,oh_3888228_-8390146,Brown,pickleball,hybrid,2011,2013,0.447,1,True,low_confidence
oh_3888228_-8390146:c002,oh_3888228_-8390146,Brown,hybrid,tennis,2013,2015,0.447,1,True,low_confidence;reversion
oh_3888228_-8390146:c002,oh_3888228_-8390146,Brown,tennis,hybrid,2019,2021,0.359,1,True,low_confidence
oh_3888228_-8390146:c003,oh_3888228_-8390146,Brown,hybrid,tennis,2015,2017,0.485,1,True,low_confidence;reversion
oh_3888228_-8390146:c003,oh_3888228_-8390146,Brown,tennis,hybrid,2017,2019,0.702,1,False,
oh_3888228_-8390146:c004,oh_3888228_-8390146,Brown,pickleball,tennis,2013,2015,0.308,1,True,low_confidence;reversion
oh_3888228_-8390146:c004,oh_3888228_-8390146,Brown,tennis,hybrid,2017,2019,0.705,1,False,
oh_3888375_-8296506:c001,oh_3888375_-8296506,Scioto,tennis,hybrid,2017,2019,0.475,1,True,low_confidence
oh_3888375_-8296506:c001,oh_3888375_-8296506,Scioto,hybrid,removed,2021,2023,0.894,1,False,
oh_3888375_-8296506:c002,oh_3888375_-8296506,Scioto,tennis,hybrid,2017,2019,0.435,1,True,low_confidence
oh_3888375_-8296506:c002,oh_3888375_-8296506,Scioto,hybrid,removed,2021,2023,0.903,1,False,
oh_3888375_-8296506:c003,oh_3888375_-8296506,Scioto,tennis,hybrid,2017,2019,0.4,1,True,low_confidence
oh_3888375_-8296506:c003,oh_3888375_-8296506,Scioto,hybrid,removed,2021,2023,0.776,1,False,
oh_3888375_-8296506:c004,oh_3888375_-8296506,Scioto,tennis,hybrid,2017,2019,0.36,1,True,low_confidence
oh_3888375_-8296506:c004,oh_3888375_-8296506,Scioto,hybrid,removed,2021,2023,0.801,1,False,
oh_3890832_-8257287:c001,oh_3890832_-8257287,Jackson,tennis,hybrid,2015,2017,0.423,1,True,low_confidence
oh_3890832_-8257287:c001,oh_3890832_-8257287,Jackson,hybrid,removed,2021,2023,0.598,1,True,low_confidence
oh_3890832_-8257287:c002,oh_3890832_-8257287,Jackson,hybrid,removed,2011,2013,0.626,1,False,
oh_3890832_-8257287:c002,oh_3890832_-8257287,Jackson,removed,hybrid,2013,2017,0.378,1,True,low_confidence;reversion
oh_3890832_-8257287:c003,oh_3890832_-8257287,Jackson,hybrid,tennis,2011,2013,0.342,1,True,low_confidence;reversion
oh_3890832_-8257287:c003,oh_3890832_-8257287,Jackson,tennis,hybrid,2017,2019,0.652,1,False,
oh_3893715_-8425821:c001,oh_3893715_-8425821,Clermont,tennis,removed,2018,2019,0.466,1,True,low_confidence
oh_3897572_-8425284:c001,oh_3897572_-8425284,Clermont,removed,tennis,2016,2018,0.613,1,True,reversion
oh_3897572_-8425284:c001,oh_3897572_-8425284,Clermont,tennis,removed,2020,2022,0.518,1,True,low_confidence
oh_3898015_-8428843:c001,oh_3898015_-8428843,Clermont,tennis,removed,2012,2013,0.405,1,True,low_confidence
oh_3898015_-8428843:c001,oh_3898015_-8428843,Clermont,removed,tennis,2016,2017,0.465,1,True,low_confidence;reversion
oh_3899365_-8197214:c001,oh_3899365_-8197214,Meigs,tennis,hybrid,2020,2021,0.619,1,False,
oh_3899365_-8197214:c001,oh_3899365_-8197214,Meigs,hybrid,tennis,2022,2023,0.369,1,True,low_confidence;reversion
